MONTH,BOROUGH,COMMUNITYDISTRICT,Column1,REFUSETONSCOLLECTED,PAPERTONSCOLLECTED,MGPTONSCOLLECTED,BOROUGH_ID,GeogName,GeoID,Borough,MdHHIncE,Column1
2014 / 02,Brooklyn,1,B1,4300.81,415.06,338.78,3,"NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA, New York",B1,Brooklyn,"59,577",0.1491
2014 / 02,Brooklyn,10,B10,2667.76,450.82,316.62,3,"NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA, New York",B10,Brooklyn,"60,863",0.2234
2014 / 02,Brooklyn,11,B11,3876.61,556.87,393.45,3,"NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA, New York",B11,Brooklyn,"51,165",0.1969
2014 / 02,Brooklyn,12,B12,5141.8,647.52,319.28,3,"NYC-Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway PUMA; New York",B12,Brooklyn,"42,864",0.1583
2014 / 02,Brooklyn,13,B13,1777.04,144.44,132.1,3,"NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA, New York",B13,Brooklyn,"34,979",0.1347
2014 / 02,Brooklyn,14,B14,3994.73,401.62,272.97,3,"NYC-Brooklyn Community District 14--Flatbush & Midwood PUMA, New York",B14,Brooklyn,"48,169",0.1445
2014 / 02,Brooklyn,15,B15,3583.32,525.23,350.44,3,"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA; New York",B15,Brooklyn,"54,475",0.1964
2014 / 02,Brooklyn,16,B16,1664.41,77.23,89.13,3,"NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA, New York",B16,Brooklyn,"28,315",0.0909
2014 / 02,Brooklyn,17,B17,3314.74,246.75,286.61,3,"NYC-Brooklyn Community District 17--East Flatbush, Farragut & Rugby PUMA; New York",B17,Brooklyn,"48,094",0.1386
2014 / 02,Brooklyn,18,B18,3872.94,478.5,405.57,3,"NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA, New York",B18,Brooklyn,"68,145",0.1858
2014 / 02,Brooklyn,2,B2,2030.9,356.75,270.12,3,"NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA, New York",B2,Brooklyn,"82,127",0.2359
2014 / 02,Brooklyn,3,B3,3309.57,212.45,194.22,3,"NYC-Brooklyn Community District 3--Bedford-Stuyvesant PUMA, New York",B3,Brooklyn,"40,537",0.1094
2014 / 02,Brooklyn,4,B4,2628.26,165.78,215.64,3,"NYC-Brooklyn Community District 4--Bushwick PUMA, New York",B4,Brooklyn,"42,197",0.1267
2014 / 02,Brooklyn,5,B5,3489.96,197.31,238.65,3,"NYC-Brooklyn Community District 5--East New York & Starrett City PUMA, New York",B5,Brooklyn,"36,385",0.1110
2014 / 02,Brooklyn,6,B6,1887.57,484.96,336.29,3,"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA; New York",B6,Brooklyn,"104,652",0.3032
2014 / 02,Brooklyn,7,B7,2735.61,360.38,302.91,3,"NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA, New York",B7,Brooklyn,"48,232",0.1951
2014 / 02,Brooklyn,8,B8,2205.73,199.92,188.04,3,"NYC-Brooklyn Community District 8--Crown Heights North & Prospect Heights PUMA, New York",B8,Brooklyn,"45,503",0.1496
2014 / 02,Brooklyn,9,B9,2499.56,184.64,143.27,3,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA; New York",B9,Brooklyn,"44,329",0.1160
2014 / 02,Manhattan,1,M1,1227.61,307.66,187.86,1,"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho PUMA; New York",M1,Manhattan,"124,389",0.2876
2014 / 02,Manhattan,10,M10,2346.57,176.94,146.02,1,"NYC-Manhattan Community District 10--Central Harlem PUMA, New York",M10,Manhattan,"40,816",0.1210
2014 / 02,Manhattan,11,M11,1907.14,159.52,126.58,1,"NYC-Manhattan Community District 11--East Harlem PUMA, New York",M11,Manhattan,"31,628",0.1304
2014 / 02,Manhattan,12,M12,4297.54,348.94,355.16,1,"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA; New York",M12,Manhattan,"43,307",0.1408
2014 / 02,Manhattan,2,M2,1936.81,362.57,262.54,1,"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho PUMA; New York",M2,Manhattan,"124,389",0.2440
2014 / 02,Manhattan,3,M3,2688.54,260.55,223.25,1,"NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA, New York",M3,Manhattan,"42,223",0.1525
2014 / 02,Manhattan,4,M4,2080.72,356.21,308.83,1,"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA; New York",M4,Manhattan,"100,097",0.2422
2014 / 02,Manhattan,5,M5,1176.21,197.32,139.52,1,"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA; New York",M5,Manhattan,"100,097",0.2226
2014 / 02,Manhattan,6,M6,2588.87,434.82,346.56,1,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA; New York",M6,Manhattan,"106,171",0.2318
2014 / 02,Manhattan,7,M7,4530.13,855.69,606.2,1,"NYC-Manhattan Community District 7--Upper West Side & West Side PUMA, New York",M7,Manhattan,"104,638",0.2440
2014 / 02,Manhattan,8,M8,4874.67,948.38,620.37,1,"NYC-Manhattan Community District 8--Upper East Side PUMA, New York",M8,Manhattan,"109,111",0.2435
2014 / 02,Manhattan,9,M9,2104.03,211.63,182.55,1,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA; New York",M9,Manhattan,"45,765",0.1578
2014 / 02,Queens,1,Q1,3276.38,462.64,430.26,4,"NYC-Queens Community District 1--Astoria & Long Island City PUMA, New York",Q1,Queens,"56,201",0.2142
2014 / 02,Queens,10,Q10,2636.5,325.87,329.19,4,"NYC-Queens Community District 10--Howard Beach & Ozone Park PUMA, New York",Q10,Queens,"65,373",0.1990
2014 / 02,Queens,11,Q11,2091.87,408.96,292.11,4,"NYC-Queens Community District 11--Bayside, Douglaston & Little Neck PUMA; New York",Q11,Queens,"78,520",0.2510
2014 / 02,Queens,12,Q12,4691.25,372.39,499.2,4,"NYC-Queens Community District 12--Jamaica, Hollis & St. Albans PUMA; New York",Q12,Queens,"55,203",0.1567
2014 / 02,Queens,13,Q13,3440.33,405.5,490,4,"NYC-Queens Community District 13--Queens Village, Cambria Heights & Rosedale PUMA; New York",Q13,Queens,"78,303",0.2065
2014 / 02,Queens,14,Q14,2322.93,186.43,144.41,4,"NYC-Queens Community District 14--Far Rockaway, Breezy Point & Broad Channel PUMA; New York",Q14,Queens,"49,451",0.1247
2014 / 02,Queens,2,Q2,2264.07,321.19,270.97,4,"NYC-Queens Community District 2--Sunnyside & Woodside PUMA, New York",Q2,Queens,"60,154",0.2073
2014 / 02,Queens,3,Q3,3714.59,309.04,334.05,4,"NYC-Queens Community District 3--Jackson Heights & North Corona PUMA, New York",Q3,Queens,"51,083",0.1476
2014 / 02,Queens,4,Q4,3399.87,281.56,257.79,4,"NYC-Queens Community District 4--Elmhurst & South Corona PUMA, New York",Q4,Queens,"44,865",0.1369
2014 / 02,Queens,5,Q5,3689.5,544.98,514.87,4,"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA; New York",Q5,Queens,"62,873",0.2232
2014 / 02,Queens,6,Q6,2228.71,345.95,262.16,4,"NYC-Queens Community District 6--Forest Hills & Rego Park PUMA, New York",Q6,Queens,"67,596",0.2144
2014 / 02,Queens,7,Q7,4850.86,643.38,453.55,4,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA; New York",Q7,Queens,"52,722",0.1844
2014 / 02,Queens,8,Q8,2737.24,386.51,289.88,4,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA; New York",Q8,Queens,"62,679",0.1981
2014 / 02,Queens,9,Q9,3011.04,351.25,358.37,4,"NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA, New York",Q9,Queens,"62,333",0.1907
2014 / 02,Staten Island,1,S1,3546.19,504.56,467.41,5,"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA; New York",S1,Staten Island,"60,746",0.2151
2014 / 02,Staten Island,2,S2,2919.44,471.09,379.56,5,"NYC-Staten Island Community District 2--New Springville & South Beach PUMA, New York",S2,Staten Island,"74,942",0.2256
2014 / 02,Staten Island,3,S3,3896.72,689.83,499.41,5,"NYC-Staten Island Community District 3--Tottenville, Great Kills & Annadale PUMA; New York",S3,Staten Island,"86,978",0.2338
2014 / 02,Bronx,1,X1,1717.79,75.02,79.83,2,"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA; New York",X1,Bronx,"23,131",0.0827
2014 / 02,Bronx,10,X10,1927.71,269.68,241.92,2,"NYC-Bronx Community District 10--Co-op City, Pelham Bay & Schuylerville PUMA; New York",X10,Bronx,"56,627",0.2097
2014 / 02,Bronx,11,X11,2356.3,233.42,214.44,2,"NYC-Bronx Community District 11--Pelham Parkway, Morris Park & Laconia PUMA; New York",X11,Bronx,"47,655",0.1597
2014 / 02,Bronx,12,X12,2857.15,269.16,332.77,2,"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA; New York",X12,Bronx,"47,168",0.1740
2014 / 02,Bronx,2,X2,1391.07,65.87,79.33,2,"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA; New York",X2,Bronx,"23,131",0.0945
2014 / 02,Bronx,3,X3,1662.54,81.7,85.14,2,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA; New York",X3,Bronx,"23,710",0.0912
2014 / 02,Bronx,4,X4,3750.75,166.41,173.97,2,"NYC-Bronx Community District 4--Concourse, Highbridge & Mount Eden PUMA; New York",X4,Bronx,"27,102",0.0832
2014 / 02,Bronx,5,X5,3079.34,148.03,194.76,2,"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA; New York",X5,Bronx,"24,436",0.1002
2014 / 02,Bronx,6,X6,1877.87,89.48,112.77,2,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA; New York",X6,Bronx,"23,710",0.0972
2014 / 02,Bronx,7,X7,3258.51,201.18,244.99,2,"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA; New York",X7,Bronx,"32,732",0.1204
2014 / 02,Bronx,8,X8,2092.37,266.91,246.11,2,"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA; New York",X8,Bronx,"58,409",0.1969
2014 / 02,Bronx,9,X9,3062.44,145.62,185.38,2,"NYC-Bronx Community District 9--Castle Hill, Clason Point & Parkchester PUMA; New York",X9,Bronx,"36,440",0.0975
