GeoID,Borough,MedHHInc,Rate
B01,Brooklyn,59577,0.1491
B02,Brooklyn,82127,0.2359
B03,Brooklyn,40537,0.1094
B04,Brooklyn,42197,0.1267
B05,Brooklyn,36385,0.111
B06,Brooklyn,104652,0.3032
B07,Brooklyn,48232,0.1951
B08,Brooklyn,45503,0.1496
B09,Brooklyn,44329,0.116
B10,Brooklyn,60863,0.2234
B11,Brooklyn,51165,0.1969
B12,Brooklyn,42864,0.1583
B13,Brooklyn,34979,0.1347
B14,Brooklyn,48169,0.1445
B15,Brooklyn,54475,0.1964
B16,Brooklyn,28315,0.0909
B17,Brooklyn,48094,0.1386
B18,Brooklyn,68145,0.1858
M01,Manhattan,124389,0.2876
M02,Manhattan,124389,0.244
M03,Manhattan,42223,0.1525
M04,Manhattan,100097,0.2422
M05,Manhattan,100097,0.2226
M06,Manhattan,106171,0.2318
M07,Manhattan,104638,0.244
M08,Manhattan,109111,0.2435
M09,Manhattan,45765,0.1578
M10,Manhattan,40816,0.121
M11,Manhattan,31628,0.1304
M12,Manhattan,43307,0.1408
Q01,Queens,56201,0.2142
Q02,Queens,60154,0.2073
Q03,Queens,51083,0.1476
Q04,Queens,44865,0.1369
Q05,Queens,62873,0.2232
Q06,Queens,67596,0.2144
Q07,Queens,52722,0.1844
Q08,Queens,62679,0.1981
Q09,Queens,62333,0.1907
Q10,Queens,65373,0.199
Q11,Queens,78520,0.251
Q12,Queens,55203,0.1567
Q13,Queens,78303,0.2065
Q14,Queens,49451,0.1247
S01,Staten Island,60746,0.2151
S02,Staten Island,74942,0.2256
S03,Staten Island,86978,0.2338
X01,Bronx,23131,0.0827
X02,Bronx,23131,0.0945
X03,Bronx,23710,0.0912
X04,Bronx,27102,0.0832
X05,Bronx,24436,0.1002
X06,Bronx,23710,0.0972
X07,Bronx,32732,0.1204
X08,Bronx,58409,0.1969
X09,Bronx,36440,0.0975
X10,Bronx,56627,0.2097
X11,Bronx,47655,0.1597
X12,Bronx,47168,0.174
